TIME,SUB/PUB,Topic,Payload
2022-10-17 18:39:19.964,SUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/call,"b'{""id"": ""932d5232-4dff-11ed-97a4-dcfb488dcda0"", ""type"": 0, ""origin"": 1, ""destination"": 3}'"
2022-10-17 18:39:19.973,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/call/response,"b'{""id"": ""932d5232-4dff-11ed-97a4-dcfb488dcda0"", ""result"": 0}'"
2022-10-17 18:39:29.801,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/arrival,"b'{""info"": 1, ""floor"": 1}'"
2022-10-17 18:39:36.937,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/door/state,"b'{""state"": 0}'"
2022-10-17 18:39:41.404,SUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/state,"b'{""id"": ""9ff4f797-4dff-11ed-a089-dcfb488dcda0"", ""state"": 1}'"
2022-10-17 18:39:41.410,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/state/response,"b'{""id"": ""9ff4f797-4dff-11ed-a089-dcfb488dcda0"", ""result"": 0}'"
2022-10-17 18:39:48.291,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/door/state,"b'{""state"": 2}'"
2022-10-17 18:39:51.584,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/floor,"b'{""floor"": 2}'"
2022-10-17 18:39:54.707,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/floor,"b'{""floor"": 3}'"
2022-10-17 18:40:00.111,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/arrival,"b'{""info"": 2, ""floor"": 3}'"
2022-10-17 18:40:15.214,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/door/state,"b'{""state"": 0}'"
2022-10-17 18:40:18.830,SUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/state,"b'{""id"": ""b643748b-4dff-11ed-9804-dcfb488dcda0"", ""state"": 4}'"
2022-10-17 18:40:18.838,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/state/response,"b'{""id"": ""b643748b-4dff-11ed-9804-dcfb488dcda0"", ""result"": 0}'"
2022-10-17 18:40:37.896,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/door/state,"b'{""state"": 2}'"
